"latitude","longitude","room_type","reviews_per_month","review_performance","minimum_nights","neighbourhood","neighbourhood_group","calculated_host_listings_count","availability_365","price"
40.64749,-73.97237,"Private room",0.21,11,1,"Kensington","Brooklyn","6",365,149
40.75362,-73.98377,"Entire home/apt",0.38,65,1,"Midtown","Manhattan","2",355,225
40.68514,-73.95976,"Entire home/apt",4.64,404,1,"Clinton Hill","Brooklyn","1",194,89
40.79851,-73.94399,"Entire home/apt",0.1,11,10,"East Harlem","Manhattan","1",0,80
40.74767,-73.975,"Entire home/apt",0.59,109,3,"Murray Hill","Manhattan","1",129,200
40.68688,-73.95596,"Private room",0.4,49,45,"Bedford-Stuyvesant","Brooklyn","1",0,60
40.76489,-73.98493,"Private room",3.47,638,2,"Hell's Kitchen","Manhattan","1",220,79
40.80178,-73.96723,"Private room",0.99,115,2,"Upper West Side","Manhattan","1",0,79
40.71344,-73.99037,"Entire home/apt",1.33,234,1,"Chinatown","Manhattan","4",188,150
40.80316,-73.96545,"Entire home/apt",0.43,78,5,"Upper West Side","Manhattan","1",6,135
40.76076,-73.98867,"Private room",1.5,278,2,"Hell's Kitchen","Manhattan","1",39,85
40.66829,-73.98779,"Private room",1.34,247,4,"South Slope","Brooklyn","3",314,89
40.79826,-73.96113,"Private room",0.91,169,2,"Upper West Side","Manhattan","1",333,85
40.7353,-74.00525,"Entire home/apt",0.22,34,90,"West Village","Manhattan","1",0,120
40.70837,-73.95352,"Entire home/apt",1.2,220,2,"Williamsburg","Brooklyn","1",46,140
40.69169,-73.97185,"Entire home/apt",1.72,294,2,"Fort Greene","Brooklyn","1",321,215
40.74192,-73.99501,"Private room",2.12,387,1,"Chelsea","Manhattan","1",12,140
40.67592,-73.94694,"Entire home/apt",4.44,78,3,"Crown Heights","Brooklyn","1",21,99
40.71842,-73.95718,"Entire home/apt",0.07,4,3,"Williamsburg","Brooklyn","1",0,299
40.68069,-73.97706,"Private room",1.09,193,2,"Park Slope","Brooklyn","6",347,130
40.67989,-73.97798,"Private room",0.37,51,1,"Park Slope","Brooklyn","6",364,80
40.68001,-73.97865,"Private room",0.61,106,2,"Park Slope","Brooklyn","6",304,110
40.68371,-73.94028,"Entire home/apt",0.73,130,2,"Bedford-Stuyvesant","Brooklyn","2",233,120
40.65599,-73.97519,"Private room",1.37,28,1,"Windsor Terrace","Brooklyn","2",85,60
40.76715,-73.98533,"Entire home/apt",0.49,57,10,"Hell's Kitchen","Manhattan","1",75,150
40.86482,-73.92106,"Private room",1.11,159,3,"Inwood","Manhattan","3",311,44
40.7292,-73.98542,"Entire home/apt",0.24,40,14,"East Village","Manhattan","1",67,180
40.82245,-73.95104,"Private room",2.04,352,3,"Harlem","Manhattan","3",355,50
40.81305,-73.95466,"Private room",1.42,129,2,"Harlem","Manhattan","1",255,52
40.72219,-73.93762,"Private room",1.65,290,4,"Greenpoint","Brooklyn","3",284,55
40.8213,-73.95318,"Private room",2.37,407,3,"Harlem","Manhattan","3",359,50
40.6831,-73.95473,"Private room",0.66,106,1,"Bedford-Stuyvesant","Brooklyn","2",269,70
40.66869,-73.9878,"Private room",1.41,248,4,"South Slope","Brooklyn","3",340,89
40.70186,-73.92745,"Entire home/apt",1.96,342,2,"Bushwick","Brooklyn","2",22,85
40.71401,-73.98917,"Shared room",1.81,320,1,"Lower East Side","Manhattan","4",188,40
40.7229,-73.98199,"Private room",2.08,362,2,"East Village","Manhattan","2",96,68
40.66278,-73.97966,"Entire home/apt",0.39,21,3,"South Slope","Brooklyn","1",345,120
40.69673,-73.97584,"Private room",0.23,30,7,"Fort Greene","Brooklyn","1",311,120
40.79009,-73.97927,"Private room",0.69,119,4,"Upper West Side","Manhattan","1",273,135
40.81175,-73.94478,"Entire home/apt",0.84,142,7,"Harlem","Manhattan","1",309,150
40.65944,-73.96238,"Entire home/apt",0.49,16,29,"Prospect-Lefferts Gardens","Brooklyn","1",95,150
40.74771,-73.9474,"Private room",2.25,369,3,"Long Island City","Queens","1",215,130
40.68111,-73.95591,"Entire home/apt",0.52,88,7,"Bedford-Stuyvesant","Brooklyn","1",265,110
40.68554,-73.9409,"Entire home/apt",0.1,9,3,"Bedford-Stuyvesant","Brooklyn","1",0,115
